secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
169,86,0,0.44089,31.7232,0,120,42.4,144.414,-37.8839,0,2.48276,25,0,52,0,0,0,0,0,0,0,0
170,87,0,0.44996,32.1444,0,116,42.4,144.414,-37.8838,0,2.48276,25,0,51,0,0,0,0,0,0,0,0
171,87,0,0.45926,32.7492,0,125,42.4,144.414,-37.8837,0,2.48276,25,0,50,0,0,0,0,0,0,0,0
172,87,0,0.46881,33.2892,0,135,42.4,144.414,-37.8836,0,2.48276,25,0,49,0,0,0,0,0,0,0,0
173,87,0,0.47795,33.3504,0,135,42.4,144.414,-37.8835,0,2.03633,25,0,49,0,0,0,0,0,0,0,0
174,87,0,0.48725,33.426,0,141,42.4,144.414,-37.8835,0,1.58639,25,0,46,0,0,0,0,0,0,0,0
175,88,0,0.49666,33.3756,0,143,42.4,144.414,-37.8834,0,1.10963,25,0,46,0,0,0,0,0,0,0,0
176,89,0,0.50537,32.7168,0,144,42.4,144.414,-37.8833,0,0.665188,25,0,46,0,0,0,0,0,0,0,0
177,90,0,0.51358,31.6404,0,144,42.4,144.414,-37.8832,0,4.44089e-16,25,0,46,0,0,0,0,0,0,0,0
178,90,0,0.52272,32.0904,0,132,42.4,144.414,-37.8831,0,4.44089e-16,25,0,47,0,0,0,0,0,0,0,0
179,90,0,0.53162,32.1588,0,140,42.4,144.414,-37.8831,0,4.44089e-16,25,0,47,0,0,0,0,0,0,0,0
180,91,0,0.54061,32.1912,0,144,42.4,144.414,-37.883,0,4.44089e-16,25,0,47,0,0,0,0,0,0,0,0
181,91,0,0.5499,32.5476,0,136,42.4,144.414,-37.8829,0,4.44089e-16,25,0,47,0,0,0,0,0,0,0,0
182,92,0,0.5594,32.6808,0,136,42.4,144.414,-37.8828,0,4.44089e-16,25,0,47,0,0,0,0,0,0,0,0
183,92,0,0.56893,33.156,0,153,42.4,144.414,-37.8827,0,4.44089e-16,25,0,45,0,0,0,0,0,0,0,0
184,91,0,0.57887,33.9372,0,119,42.4,144.414,-37.8826,0,4.44089e-16,25,0,44,0,0,0,0,0,0,0,0
185,91,0,0.58838,33.804,0,119,42.4,144.414,-37.8826,0,4.44089e-16,25,0,44,0,0,0,0,0,0,0,0
186,91,0,0.59757,33.3,0,111,42.4,144.414,-37.8825,0,4.44089e-16,25,0,43,0,0,0,0,0,0,0,0
